Amount requested,Month,Year
328350,5,2007
2009800,6,2007
1828750,7,2007
1809900,8,2007
3013425,9,2007
8503875,10,2007
11521960,11,2007
16064061,12,2007
32231328,1,2008
20602187,2,2008
30576523,3,2008
22874225,4,2008
5979320,5,2008
6916556,6,2008
7235045,7,2008
6251943,8,2008
5006420,9,2008
19731666,10,2008
34176047,11,2008
28876281,12,2008
28527634,1,2009
24947379,2,2009
46383874,3,2009
58321822,4,2009
65276413,5,2009
71058936,6,2009
54905025,7,2009
39738172,8,2009
52931212,9,2009
50635946,10,2009
49197674,11,2009
46807679,12,2009
63082943,1,2010
63203863,2,2010
81180200,3,2010
78625175,4,2010
106015625,5,2010
109236475,6,2010
117718025,7,2010
116836825,8,2010
124928700,9,2010
126015625,10,2010
130067700,11,2010
129247800,12,2010
171120400,1,2011
167434625,2,2011
202567050,3,2011
232008700,4,2011
85493900,5,2011
261242950,6,2011
274477675,7,2011
279133900,8,2011
285463750,9,2011
270307250,10,2011
316294700,11,2011
264187350,12,2011
297759075,1,2012
236881150,2,2012
313118125,3,2012
354057725,4,2012
375249175,5,2012
384614700,6,2012
402525750,7,2012
437504300,8,2012
500345025,9,2012
556412325,10,2012
505770725,11,2012
479532800,12,2012
