Amount requested,Day,Month,Year
2000,26,5,2007
47400,27,5,2007
23900,28,5,2007
121050,29,5,2007
87500,30,5,2007
46500,31,5,2007
79325,1,6,2007
57000,2,6,2007
33000,3,6,2007
69600,4,6,2007
17800,5,6,2007
65100,6,6,2007
6000,7,6,2007
63300,8,6,2007
50500,9,6,2007
41000,10,6,2007
43500,11,6,2007
118975,12,6,2007
52000,13,6,2007
32000,14,6,2007
46500,15,6,2007
47000,16,6,2007
57500,17,6,2007
53500,18,6,2007
129150,19,6,2007
44000,20,6,2007
89000,21,6,2007
77000,22,6,2007
80000,23,6,2007
188900,24,6,2007
210950,25,6,2007
76000,26,6,2007
19500,27,6,2007
31500,28,6,2007
59000,29,6,2007
71200,30,6,2007
126600,1,7,2007
93000,2,7,2007
109500,3,7,2007
77425,4,7,2007
32500,5,7,2007
27825,6,7,2007
91300,7,7,2007
67500,8,7,2007
59000,9,7,2007
62000,10,7,2007
33000,11,7,2007
93000,12,7,2007
57800,13,7,2007
35000,14,7,2007
21000,15,7,2007
52000,16,7,2007
52000,17,7,2007
60850,18,7,2007
65400,19,7,2007
49200,20,7,2007
32775,21,7,2007
58000,22,7,2007
89100,23,7,2007
70300,24,7,2007
52500,25,7,2007
26600,26,7,2007
72275,27,7,2007
13500,28,7,2007
14500,29,7,2007
33050,30,7,2007
100250,31,7,2007
18625,1,8,2007
99100,2,8,2007
45000,3,8,2007
84300,4,8,2007
68500,5,8,2007
37000,6,8,2007
62000,7,8,2007
21000,8,8,2007
51500,9,8,2007
31550,10,8,2007
54000,11,8,2007
83500,12,8,2007
100500,13,8,2007
45500,14,8,2007
66025,15,8,2007
81750,16,8,2007
90500,17,8,2007
23450,18,8,2007
17225,19,8,2007
26000,20,8,2007
61500,21,8,2007
43200,22,8,2007
83000,23,8,2007
84200,24,8,2007
63500,25,8,2007
21500,26,8,2007
36000,27,8,2007
148175,28,8,2007
57000,29,8,2007
40100,30,8,2007
64700,31,8,2007
31500,1,9,2007
42000,2,9,2007
15000,3,9,2007
53700,4,9,2007
23350,5,9,2007
42000,6,9,2007
80500,7,9,2007
51700,8,9,2007
27000,9,9,2007
34000,10,9,2007
22400,11,9,2007
36550,12,9,2007
212700,13,9,2007
156300,14,9,2007
60000,15,9,2007
114400,16,9,2007
96000,17,9,2007
102775,18,9,2007
124000,19,9,2007
79100,20,9,2007
96000,21,9,2007
66525,22,9,2007
107375,23,9,2007
184050,24,9,2007
196275,25,9,2007
179450,26,9,2007
187800,27,9,2007
187400,28,9,2007
225575,29,9,2007
178000,30,9,2007
250575,1,10,2007
318350,2,10,2007
341300,3,10,2007
302050,4,10,2007
176000,5,10,2007
182425,6,10,2007
154225,7,10,2007
172050,8,10,2007
350825,9,10,2007
250850,10,10,2007
243150,11,10,2007
261775,12,10,2007
208150,13,10,2007
195925,14,10,2007
432600,15,10,2007
396100,16,10,2007
419825,17,10,2007
270300,18,10,2007
218600,19,10,2007
142000,20,10,2007
321000,21,10,2007
565000,22,10,2007
410600,23,10,2007
288200,24,10,2007
329000,25,10,2007
353900,26,10,2007
221600,27,10,2007
84750,28,10,2007
316750,29,10,2007
178500,30,10,2007
147500,31,10,2007
294400,1,11,2007
486300,2,11,2007
254000,3,11,2007
314025,4,11,2007
317150,5,11,2007
308575,6,11,2007
354700,7,11,2007
418300,8,11,2007
180800,9,11,2007
210900,10,11,2007
142000,11,11,2007
311800,12,11,2007
279000,13,11,2007
271550,14,11,2007
222875,15,11,2007
261300,16,11,2007
167600,17,11,2007
223375,18,11,2007
363500,19,11,2007
297775,20,11,2007
352900,21,11,2007
289900,22,11,2007
681100,23,11,2007
356200,24,11,2007
542575,25,11,2007
761335,26,11,2007
664700,27,11,2007
830850,28,11,2007
727800,29,11,2007
634675,30,11,2007
407275,1,12,2007
512725,2,12,2007
763675,3,12,2007
760650,4,12,2007
598600,5,12,2007
688050,6,12,2007
579500,7,12,2007
282300,8,12,2007
408400,9,12,2007
585600,10,12,2007
494500,11,12,2007
727975,12,12,2007
725200,13,12,2007
653925,14,12,2007
387700,15,12,2007
452314,16,12,2007
700980,17,12,2007
694200,18,12,2007
356329,19,12,2007
367150,20,12,2007
249100,21,12,2007
273275,22,12,2007
143500,23,12,2007
215300,24,12,2007
149725,25,12,2007
742750,26,12,2007
960404,27,12,2007
712784,28,12,2007
519275,29,12,2007
454300,30,12,2007
496600,31,12,2007
413275,1,1,2008
793943,2,1,2008
781850,3,1,2008
705000,4,1,2008
424681,5,1,2008
404525,6,1,2008
808375,7,1,2008
614350,8,1,2008
676025,9,1,2008
675294,10,1,2008
630365,11,1,2008
752950,12,1,2008
4651200,13,1,2008
3634126,14,1,2008
1951295,15,1,2008
1615925,16,1,2008
1126475,17,1,2008
987193,18,1,2008
771125,19,1,2008
997550,20,1,2008
970720,21,1,2008
787882,22,1,2008
853775,23,1,2008
726550,24,1,2008
608800,25,1,2008
552700,26,1,2008
504700,27,1,2008
1253875,28,1,2008
918131,29,1,2008
873573,30,1,2008
765100,31,1,2008
629250,1,2,2008
467400,2,2,2008
571000,3,2,2008
925800,4,2,2008
960275,5,2,2008
759650,6,2,2008
693893,7,2,2008
767506,8,2,2008
607950,9,2,2008
733480,10,2,2008
1724594,11,2,2008
1031762,12,2,2008
798450,13,2,2008
656425,14,2,2008
671375,15,2,2008
366449,16,2,2008
725500,17,2,2008
747009,18,2,2008
774050,19,2,2008
797170,20,2,2008
536125,21,2,2008
470250,22,2,2008
431400,23,2,2008
411975,24,2,2008
878025,25,2,2008
740150,26,2,2008
630074,27,2,2008
624850,28,2,2008
470350,29,2,2008
443800,1,3,2008
731495,2,3,2008
894850,3,3,2008
901725,4,3,2008
846762,5,3,2008
594400,6,3,2008
710403,7,3,2008
432500,8,3,2008
702275,9,3,2008
1105200,10,3,2008
888860,11,3,2008
824850,12,3,2008
1059425,13,3,2008
915100,14,3,2008
805996,15,3,2008
651812,16,3,2008
737000,17,3,2008
911600,18,3,2008
1151543,19,3,2008
998450,20,3,2008
3149650,21,3,2008
1662050,22,3,2008
1128235,23,3,2008
2095250,24,3,2008
1556750,25,3,2008
1456117,26,3,2008
729750,27,3,2008
773025,28,3,2008
475600,29,3,2008
655050,30,3,2008
587000,31,3,2008
656500,1,4,2008
812150,2,4,2008
571525,3,4,2008
555275,4,4,2008
3534950,5,4,2008
2756325,6,4,2008
6653825,7,4,2008
